問掛けれる	動詞,自立,*,*,一段・可能,基本形,問掛けれる,トイカケレル,トイカケレル
着せれれ	動詞,自立,*,*,一段・可能,仮定形,着せれる,キセレレ,キセレレ
着せれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,着せれる,キセレリャ,キセレリャ
着せれん	動詞,自立,*,*,一段・可能,体言接続特殊,着せれる,キセレン,キセレン
かいま見れる	動詞,自立,*,*,一段・可能,基本形,かいま見れる,カイマミレル,カイマミレル
かいま見れ	動詞,自立,*,*,一段・可能,未然形,かいま見れる,カイマミレ,カイマミレ
かいま見れ	動詞,自立,*,*,一段・可能,連用形,かいま見れる,カイマミレ,カイマミレ
かいま見れれ	動詞,自立,*,*,一段・可能,仮定形,かいま見れる,カイマミレレ,カイマミレレ
かいま見れりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,かいま見れる,カイマミレリャ,カイマミレリャ
かいま見れん	動詞,自立,*,*,一段・可能,体言接続特殊,かいま見れる,カイマミレン,カイマミレン
紛れれる	動詞,自立,*,*,一段・可能,基本形,紛れれる,マギレレル,マギレレル
紛れれ	動詞,自立,*,*,一段・可能,未然形,紛れれる,マギレレ,マギレレ
紛れれ	動詞,自立,*,*,一段・可能,連用形,紛れれる,マギレレ,マギレレ
紛れれれ	動詞,自立,*,*,一段・可能,仮定形,紛れれる,マギレレレ,マギレレレ
紛れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,紛れれる,マギレレリャ,マギレレリャ
紛れれん	動詞,自立,*,*,一段・可能,体言接続特殊,紛れれる,マギレレン,マギレレン
取付けれる	動詞,自立,*,*,一段・可能,基本形,取付けれる,トリツケレル,トリツケレル
取付けれ	動詞,自立,*,*,一段・可能,未然形,取付けれる,トリツケレ,トリツケレ
取付けれ	動詞,自立,*,*,一段・可能,連用形,取付けれる,トリツケレ,トリツケレ
取付けれれ	動詞,自立,*,*,一段・可能,仮定形,取付けれる,トリツケレレ,トリツケレレ
取付けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,取付けれる,トリツケレリャ,トリツケレリャ
取付けれん	動詞,自立,*,*,一段・可能,体言接続特殊,取付けれる,トリツケレン,トリツケレン
かためれる	動詞,自立,*,*,一段・可能,基本形,かためれる,カタメレル,カタメレル
かためれ	動詞,自立,*,*,一段・可能,未然形,かためれる,カタメレ,カタメレ
かためれ	動詞,自立,*,*,一段・可能,連用形,かためれる,カタメレ,カタメレ
かためれれ	動詞,自立,*,*,一段・可能,仮定形,かためれる,カタメレレ,カタメレレ
かためれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,かためれる,カタメレリャ,カタメレリャ
かためれん	動詞,自立,*,*,一段・可能,体言接続特殊,かためれる,カタメレン,カタメレン
気構えれる	動詞,自立,*,*,一段・可能,基本形,気構えれる,キガマエレル,キガマエレル
気構えれ	動詞,自立,*,*,一段・可能,未然形,気構えれる,キガマエレ,キガマエレ
気構えれ	動詞,自立,*,*,一段・可能,連用形,気構えれる,キガマエレ,キガマエレ
気構えれれ	動詞,自立,*,*,一段・可能,仮定形,気構えれる,キガマエレレ,キガマエレレ
気構えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,気構えれる,キガマエレリャ,キガマエレリャ
気構えれん	動詞,自立,*,*,一段・可能,体言接続特殊,気構えれる,キガマエレン,キガマエレン
むすぼれれる	動詞,自立,*,*,一段・可能,基本形,むすぼれれる,ムスボレレル,ムスボレレル
むすぼれれ	動詞,自立,*,*,一段・可能,未然形,むすぼれれる,ムスボレレ,ムスボレレ
むすぼれれ	動詞,自立,*,*,一段・可能,連用形,むすぼれれる,ムスボレレ,ムスボレレ
むすぼれれれ	動詞,自立,*,*,一段・可能,仮定形,むすぼれれる,ムスボレレレ,ムスボレレレ
むすぼれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,むすぼれれる,ムスボレレリャ,ムスボレレリャ
むすぼれれん	動詞,自立,*,*,一段・可能,体言接続特殊,むすぼれれる,ムスボレレン,ムスボレレン
芽ばえれる	動詞,自立,*,*,一段・可能,基本形,芽ばえれる,メバエレル,メバエレル
芽ばえれ	動詞,自立,*,*,一段・可能,未然形,芽ばえれる,メバエレ,メバエレ
芽ばえれ	動詞,自立,*,*,一段・可能,連用形,芽ばえれる,メバエレ,メバエレ
芽ばえれれ	動詞,自立,*,*,一段・可能,仮定形,芽ばえれる,メバエレレ,メバエレレ
芽ばえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,芽ばえれる,メバエレリャ,メバエレリャ
芽ばえれん	動詞,自立,*,*,一段・可能,体言接続特殊,芽ばえれる,メバエレン,メバエレン
取鎮めれる	動詞,自立,*,*,一段・可能,基本形,取鎮めれる,トリシズメレル,トリシズメレル
取鎮めれ	動詞,自立,*,*,一段・可能,未然形,取鎮めれる,トリシズメレ,トリシズメレ
取鎮めれ	動詞,自立,*,*,一段・可能,連用形,取鎮めれる,トリシズメレ,トリシズメレ
取鎮めれれ	動詞,自立,*,*,一段・可能,仮定形,取鎮めれる,トリシズメレレ,トリシズメレレ
取鎮めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,取鎮めれる,トリシズメレリャ,トリシズメレリャ
取鎮めれん	動詞,自立,*,*,一段・可能,体言接続特殊,取鎮めれる,トリシズメレン,トリシズメレン
条件付けれる	動詞,自立,*,*,一段・可能,基本形,条件付けれる,ジョウケンヅケレル,ジョーケンズケレル
条件付けれ	動詞,自立,*,*,一段・可能,未然形,条件付けれる,ジョウケンヅケレ,ジョーケンズケレ
条件付けれ	動詞,自立,*,*,一段・可能,連用形,条件付けれる,ジョウケンヅケレ,ジョーケンズケレ
条件付けれれ	動詞,自立,*,*,一段・可能,仮定形,条件付けれる,ジョウケンヅケレレ,ジョーケンズケレレ
条件付けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,条件付けれる,ジョウケンヅケレリャ,ジョーケンズケレリャ
条件付けれん	動詞,自立,*,*,一段・可能,体言接続特殊,条件付けれる,ジョウケンヅケレン,ジョーケンズケレン
たいおうづけれる	動詞,自立,*,*,一段・可能,基本形,たいおうづけれる,タイオウヅケレル,タイオーズケレル
たいおうづけれ	動詞,自立,*,*,一段・可能,未然形,たいおうづけれる,タイオウヅケレ,タイオーズケレ
たいおうづけれ	動詞,自立,*,*,一段・可能,連用形,たいおうづけれる,タイオウヅケレ,タイオーズケレ
たいおうづけれれ	動詞,自立,*,*,一段・可能,仮定形,たいおうづけれる,タイオウヅケレレ,タイオーズケレレ
たいおうづけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,たいおうづけれる,タイオウヅケレリャ,タイオーズケレリャ
たいおうづけれん	動詞,自立,*,*,一段・可能,体言接続特殊,たいおうづけれる,タイオウヅケレン,タイオーズケレン
捕らえれる	動詞,自立,*,*,一段・可能,基本形,捕らえれる,トラエレル,トラエレル
捕らえれ	動詞,自立,*,*,一段・可能,未然形,捕らえれる,トラエレ,トラエレ
捕らえれ	動詞,自立,*,*,一段・可能,連用形,捕らえれる,トラエレ,トラエレ
捕らえれれ	動詞,自立,*,*,一段・可能,仮定形,捕らえれる,トラエレレ,トラエレレ
捕らえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,捕らえれる,トラエレリャ,トラエレリャ
捕らえれん	動詞,自立,*,*,一段・可能,体言接続特殊,捕らえれる,トラエレン,トラエレン
待受けれる	動詞,自立,*,*,一段・可能,基本形,待受けれる,マチウケレル,マチウケレル
待受けれ	動詞,自立,*,*,一段・可能,未然形,待受けれる,マチウケレ,マチウケレ
待受けれ	動詞,自立,*,*,一段・可能,連用形,待受けれる,マチウケレ,マチウケレ
待受けれれ	動詞,自立,*,*,一段・可能,仮定形,待受けれる,マチウケレレ,マチウケレレ
待受けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,待受けれる,マチウケレリャ,マチウケレリャ
待受けれん	動詞,自立,*,*,一段・可能,体言接続特殊,待受けれる,マチウケレン,マチウケレン
順序づけれる	動詞,自立,*,*,一段・可能,基本形,順序づけれる,ジュンジョヅケレル,ジュンジョズケレル
順序づけれ	動詞,自立,*,*,一段・可能,未然形,順序づけれる,ジュンジョヅケレ,ジュンジョズケレ
順序づけれ	動詞,自立,*,*,一段・可能,連用形,順序づけれる,ジュンジョヅケレ,ジュンジョズケレ
順序づけれれ	動詞,自立,*,*,一段・可能,仮定形,順序づけれる,ジュンジョヅケレレ,ジュンジョズケレレ
順序づけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,順序づけれる,ジュンジョヅケレリャ,ジュンジョズケレリャ
順序づけれん	動詞,自立,*,*,一段・可能,体言接続特殊,順序づけれる,ジュンジョヅケレン,ジュンジョズケレン
あまったれれる	動詞,自立,*,*,一段・可能,基本形,あまったれれる,アマッタレレル,アマッタレレル
あまったれれ	動詞,自立,*,*,一段・可能,未然形,あまったれれる,アマッタレレ,アマッタレレ
あまったれれ	動詞,自立,*,*,一段・可能,連用形,あまったれれる,アマッタレレ,アマッタレレ
あまったれれれ	動詞,自立,*,*,一段・可能,仮定形,あまったれれる,アマッタレレレ,アマッタレレレ
あまったれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,あまったれれる,アマッタレレリャ,アマッタレレリャ
あまったれれん	動詞,自立,*,*,一段・可能,体言接続特殊,あまったれれる,アマッタレレン,アマッタレレン
乗掛けれる	動詞,自立,*,*,一段・可能,基本形,乗掛けれる,ノリカケレル,ノリカケレル
乗掛けれ	動詞,自立,*,*,一段・可能,未然形,乗掛けれる,ノリカケレ,ノリカケレ
乗掛けれ	動詞,自立,*,*,一段・可能,連用形,乗掛けれる,ノリカケレ,ノリカケレ
乗掛けれれ	動詞,自立,*,*,一段・可能,仮定形,乗掛けれる,ノリカケレレ,ノリカケレレ
乗掛けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,乗掛けれる,ノリカケレリャ,ノリカケレリャ
乗掛けれん	動詞,自立,*,*,一段・可能,体言接続特殊,乗掛けれる,ノリカケレン,ノリカケレン
据えれる	動詞,自立,*,*,一段・可能,基本形,据えれる,スエレル,スエレル
据えれ	動詞,自立,*,*,一段・可能,未然形,据えれる,スエレ,スエレ
据えれ	動詞,自立,*,*,一段・可能,連用形,据えれる,スエレ,スエレ
据えれれ	動詞,自立,*,*,一段・可能,仮定形,据えれる,スエレレ,スエレレ
据えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,据えれる,スエレリャ,スエレリャ
据えれん	動詞,自立,*,*,一段・可能,体言接続特殊,据えれる,スエレン,スエレン
引っ下げれる	動詞,自立,*,*,一段・可能,基本形,引っ下げれる,ヒッサゲレル,ヒッサゲレル
引っ下げれ	動詞,自立,*,*,一段・可能,未然形,引っ下げれる,ヒッサゲレ,ヒッサゲレ
引っ下げれ	動詞,自立,*,*,一段・可能,連用形,引っ下げれる,ヒッサゲレ,ヒッサゲレ
引っ下げれれ	動詞,自立,*,*,一段・可能,仮定形,引っ下げれる,ヒッサゲレレ,ヒッサゲレレ
引っ下げれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,引っ下げれる,ヒッサゲレリャ,ヒッサゲレリャ
引っ下げれん	動詞,自立,*,*,一段・可能,体言接続特殊,引っ下げれる,ヒッサゲレン,ヒッサゲレン
取調べれる	動詞,自立,*,*,一段・可能,基本形,取調べれる,トリシラベレル,トリシラベレル
取調べれ	動詞,自立,*,*,一段・可能,未然形,取調べれる,トリシラベレ,トリシラベレ
取調べれ	動詞,自立,*,*,一段・可能,連用形,取調べれる,トリシラベレ,トリシラベレ
取調べれれ	動詞,自立,*,*,一段・可能,仮定形,取調べれる,トリシラベレレ,トリシラベレレ
取調べれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,取調べれる,トリシラベレリャ,トリシラベレリャ
取調べれん	動詞,自立,*,*,一段・可能,体言接続特殊,取調べれる,トリシラベレン,トリシラベレン
絆されれる	動詞,自立,*,*,一段・可能,基本形,絆されれる,ホダサレレル,ホダサレレル
絆されれ	動詞,自立,*,*,一段・可能,未然形,絆されれる,ホダサレレ,ホダサレレ
絆されれ	動詞,自立,*,*,一段・可能,連用形,絆されれる,ホダサレレ,ホダサレレ
絆されれれ	動詞,自立,*,*,一段・可能,仮定形,絆されれる,ホダサレレレ,ホダサレレレ
絆されれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,絆されれる,ホダサレレリャ,ホダサレレリャ
絆されれん	動詞,自立,*,*,一段・可能,体言接続特殊,絆されれる,ホダサレレン,ホダサレレン
こたえれる	動詞,自立,*,*,一段・可能,基本形,こたえれる,コタエレル,コタエレル
こたえれ	動詞,自立,*,*,一段・可能,未然形,こたえれる,コタエレ,コタエレ
こたえれ	動詞,自立,*,*,一段・可能,連用形,こたえれる,コタエレ,コタエレ
こたえれれ	動詞,自立,*,*,一段・可能,仮定形,こたえれる,コタエレレ,コタエレレ
こたえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,こたえれる,コタエレリャ,コタエレリャ
こたえれん	動詞,自立,*,*,一段・可能,体言接続特殊,こたえれる,コタエレン,コタエレン
比えれる	動詞,自立,*,*,一段・可能,基本形,比えれる,タグエレル,タグエレル
比えれ	動詞,自立,*,*,一段・可能,未然形,比えれる,タグエレ,タグエレ
比えれ	動詞,自立,*,*,一段・可能,連用形,比えれる,タグエレ,タグエレ
比えれれ	動詞,自立,*,*,一段・可能,仮定形,比えれる,タグエレレ,タグエレレ
